,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 22,TF Blade,1387,Victory,58,178,11503,14,12
Match 23,TF Blade,1209,Victory,120,141,8875,12,18
Match 24,TF Blade,1856,Victory,24,237,17306,18,20
Match 25,TF Blade,2397,Defeat,24,314,19432,18,29
Match 26,TF Blade,2329,Defeat,58,295,17666,18,44
Match 27,TF Blade,1213,Defeat,24,134,6861,11,12
Match 28,TF Blade,916,Defeat,39,95,4038,9,9
Match 29,TF Blade,2045,Victory,24,265,17510,18,18
Match 30,TF Blade,1355,Defeat,24,146,8650,13,10
Match 31,TF Blade,916,Victory,24,125,5767,11,7
Match 32,TF Blade,2010,Defeat,245,182,16340,16,17
Match 33,TF Blade,1934,Victory,24,218,14160,17,31
Match 34,TF Blade,1436,Defeat,39,131,7163,11,15
Match 35,TF Blade,1355,Victory,58,163,9850,13,18
Match 36,TF Blade,2052,Victory,92,265,23513,18,16
Match 37,TF Blade,1394,Victory,24,147,11879,15,7
Match 38,TF Blade,1538,Victory,24,149,10389,13,13
Match 39,TF Blade,1761,Defeat,24,151,10159,14,28
Match 40,TF Blade,1427,Defeat,24,172,10059,14,17
Match 41,TF Blade,2265,Victory,164,288,19373,18,23
Match 42,TF Blade,1662,Victory,24,150,10729,14,24
Match 43,TF Blade,2078,Defeat,24,241,13975,17,27
Match 44,TF Blade,1815,Defeat,39,243,13486,16,30
Match 45,TF Blade,1771,Victory,23,265,14821,18,23
Match 46,TF Blade,1224,Victory,39,186,12149,14,23
Match 47,TF Blade,1712,Victory,58,244,14182,17,27
Match 48,TF Blade,2144,Defeat,24,287,17260,18,37
Match 49,TF Blade,1870,Victory,24,197,13816,17,20
Match 50,TF Blade,1364,Victory,24,155,8915,14,16
Match 51,TF Blade,1697,Victory,39,268,13192,16,27
Match 52,TF Blade,1260,Victory,24,145,8274,11,10
Match 53,TF Blade,1537,Victory,24,193,10622,15,20
Match 54,TF Blade,1314,Defeat,75,157,7014,12,17
Match 55,TF Blade,1553,Defeat,8,126,6276,12,15
Match 56,TF Blade,2250,Victory,24,234,16931,18,31
Match 57,TF Blade,918,Victory,245,122,6369,10,15
