,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 11,Ender Dragon 3,912,Victory,266,126,7827,12,1
Match 12,Ender Dragon 3,2491,Victory,875,236,18060,18,22
Match 13,Ender Dragon 3,1301,Victory,157,183,10499,14,7
Match 14,Ender Dragon 3,1541,Victory,157,184,10933,14,6
Match 15,Ender Dragon 3,1677,Victory,103,144,9674,14,10
Match 16,Ender Dragon 3,2041,Victory,18,148,10823,14,10
Match 17,Ender Dragon 3,1425,Victory,3,126,8776,14,9
Match 18,Ender Dragon 3,1432,Victory,63,136,12875,15,8
Match 19,Ender Dragon 3,1888,Defeat,72,15,11708,15,17
Match 20,Ender Dragon 3,1867,Victory,777,162,14754,16,13
Match 21,Ender Dragon 3,1917,Victory,54,132,9898,15,18
Match 22,Ender Dragon 3,1176,Victory,266,110,9697,13,12
Match 23,Ender Dragon 3,2347,Defeat,86,242,16104,18,24
Match 24,Ender Dragon 3,1762,Victory,157,185,15260,16,19
Match 25,Ender Dragon 3,1643,Victory,157,143,11876,14,14
Match 26,Ender Dragon 3,1717,Defeat,157,168,11076,15,16
Match 27,Ender Dragon 3,1687,Defeat,157,207,12518,14,6
Match 28,Ender Dragon 3,1711,Defeat,103,169,14684,15,13
Match 29,Ender Dragon 3,968,Defeat,266,122,5162,11,6
Match 30,Ender Dragon 3,1749,Victory,266,183,15654,17,6
Match 31,Ender Dragon 3,1218,Defeat,157,134,7369,12,1
Match 32,Ender Dragon 3,1373,Victory,157,147,8224,13,1
Match 33,Ender Dragon 3,1422,Defeat,157,155,7122,12,7
Match 34,Ender Dragon 3,1357,Victory,157,191,11197,15,11
Match 35,Ender Dragon 3,2075,Defeat,777,209,15507,17,14
Match 36,Ender Dragon 3,2107,Victory,86,207,14686,17,19
Match 37,Ender Dragon 3,1800,Defeat,157,182,10262,14,6
Match 38,Ender Dragon 3,1626,Victory,157,187,14216,14,13
Match 39,Ender Dragon 3,2322,Victory,157,280,20150,18,33
Match 40,Ender Dragon 3,1322,Victory,103,161,8462,14,9
Match 41,Ender Dragon 3,1695,Defeat,157,172,12833,15,17
Match 42,Ender Dragon 3,1371,Defeat,157,133,7324,12,9
Match 43,Ender Dragon 3,1801,Victory,103,157,13333,16,14
Match 44,Ender Dragon 3,1749,Victory,157,158,10845,14,14
Match 45,Ender Dragon 3,2245,Defeat,266,195,11828,16,32
Match 46,Ender Dragon 3,2093,Victory,67,199,19793,18,20
Match 47,Ender Dragon 3,1776,Defeat,202,145,9804,12,6
Match 48,Ender Dragon 3,2091,Victory,157,267,15302,18,19
Match 49,Ender Dragon 3,2256,Victory,157,254,17147,18,15
Match 50,Ender Dragon 3,1176,Defeat,111,22,4295,9,16
Match 51,Ender Dragon 3,1881,Defeat,54,162,9274,15,15
Match 52,Ender Dragon 3,1637,Victory,266,152,10498,15,13
Match 53,Ender Dragon 3,1442,Defeat,157,131,13448,13,8
Match 54,Ender Dragon 3,2005,Defeat,107,27,10688,13,23
Match 55,Ender Dragon 3,2045,Victory,126,205,14337,17,21
Match 56,Ender Dragon 3,613,Victory,238,79,4372,9,0
Match 57,Ender Dragon 3,1296,Victory,157,142,13735,14,8
Match 58,Ender Dragon 3,1251,Defeat,157,148,7624,11,5
Match 1,Ender Dragon 3,1870,Victory,157,212,14116,17,13
Match 2,Ender Dragon 3,1580,Defeat,157,178,9235,13,12
Match 3,Ender Dragon 3,2250,Victory,157,213,16174,18,18
Match 4,Ender Dragon 3,1932,Victory,103,143,12773,16,13
Match 5,Ender Dragon 3,1864,Defeat,238,169,12514,15,11
