,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 77,Adrian Riven,1490,Defeat,92,130,6667,12,1
Match 78,Adrian Riven,1358,Victory,114,125,10091,13,11
Match 79,Adrian Riven,1794,Defeat,92,207,13445,16,15
Match 80,Adrian Riven,2425,Defeat,120,62,20834,18,13
Match 81,Adrian Riven,2020,Defeat,92,175,18689,17,18
Match 82,Adrian Riven,1913,Victory,2,203,16722,16,16
Match 83,Adrian Riven,1753,Defeat,86,120,8460,14,16
Match 84,Adrian Riven,1338,Defeat,58,147,8379,13,5
Match 85,Adrian Riven,1209,Victory,92,153,7688,13,16
Match 86,Adrian Riven,2157,Victory,86,241,16639,18,20
Match 87,Adrian Riven,1854,Victory,92,203,17408,17,15
Match 88,Adrian Riven,2110,Defeat,164,184,10915,16,11
Match 89,Adrian Riven,1474,Victory,164,131,12393,14,14
Match 90,Adrian Riven,936,Victory,92,122,6741,11,6
Match 91,Adrian Riven,1380,Defeat,58,145,6876,12,5
Match 92,Adrian Riven,1278,Victory,92,144,9642,13,11
Match 93,Adrian Riven,1756,Defeat,92,152,9788,13,22
Match 1,Adrian Riven,1501,Victory,58,134,10344,13,11
Match 2,Adrian Riven,1653,Victory,92,187,9559,15,19
Match 3,Adrian Riven,919,Defeat,62,59,3858,9,4
Match 4,Adrian Riven,1466,Victory,92,145,11250,15,10
Match 5,Adrian Riven,913,Victory,92,107,6912,10,8
Match 6,Adrian Riven,1302,Victory,92,140,12766,14,11
Match 7,Adrian Riven,1554,Defeat,92,214,9373,15,16
Match 8,Adrian Riven,1443,Victory,92,142,8511,13,8
Match 9,Adrian Riven,1821,Victory,114,199,9926,16,14
Match 10,Adrian Riven,1819,Victory,92,201,15090,17,19
Match 11,Adrian Riven,2134,Defeat,92,226,12594,16,18
Match 12,Adrian Riven,1037,Defeat,64,97,5397,11,7
Match 13,Adrian Riven,1234,Victory,92,155,10997,14,15
Match 14,Adrian Riven,1237,Victory,92,151,9188,13,2
Match 15,Adrian Riven,1787,Victory,92,228,13635,17,22
