,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 395,cyrs7,2218,Defeat,99,43,10071,15,63
Match 396,cyrs7,2074,Victory,99,29,11006,14,59
Match 397,cyrs7,1670,Defeat,25,29,7910,13,40
Match 398,cyrs7,960,Defeat,235,3,4597,8,13
Match 399,cyrs7,1854,Defeat,25,19,8544,13,51
Match 400,cyrs7,2357,Defeat,25,44,11699,16,92
Match 401,cyrs7,1944,Defeat,25,52,9558,14,67
Match 402,cyrs7,1651,Victory,99,27,7808,13,56
Match 403,cyrs7,1426,Victory,25,35,8685,13,48
Match 404,cyrs7,1878,Defeat,25,22,8525,12,64
Match 405,cyrs7,2279,Defeat,267,10,8580,14,71
Match 406,cyrs7,1512,Defeat,25,24,5868,10,35
Match 407,cyrs7,1603,Victory,25,32,7983,12,46
Match 408,cyrs7,1692,Defeat,117,9,6537,12,56
Match 409,cyrs7,1920,Victory,267,17,9650,15,73
Match 410,cyrs7,2134,Defeat,99,43,10378,14,84
Match 411,cyrs7,2011,Defeat,25,27,8499,13,63
Match 412,cyrs7,1589,Victory,235,14,8009,12,55
Match 413,cyrs7,2294,Victory,25,30,12592,17,72
Match 414,cyrs7,1433,Victory,40,11,8345,12,53
Match 415,cyrs7,2517,Victory,99,46,12695,16,85
Match 416,cyrs7,1613,Victory,99,35,8233,13,62
Match 417,cyrs7,2047,Defeat,99,38,9333,14,63
Match 418,cyrs7,1452,Victory,267,15,9307,13,60
Match 419,cyrs7,1511,Victory,25,30,7522,12,53
Match 420,cyrs7,2042,Defeat,99,36,9523,13,68
Match 421,cyrs7,839,Victory,99,5,4486,7,16
Match 422,cyrs7,1381,Victory,143,15,7903,11,45
Match 423,cyrs7,1316,Defeat,117,17,5537,9,43
Match 424,cyrs7,1895,Defeat,161,48,10263,13,47
Match 425,cyrs7,1493,Victory,99,19,8158,12,47
Match 426,cyrs7,1693,Defeat,117,22,7054,11,62
Match 427,cyrs7,1561,Victory,267,14,7731,11,58
Match 428,cyrs7,1887,Defeat,117,15,7791,13,65
Match 429,cyrs7,1669,Defeat,99,41,7325,11,49
Match 430,cyrs7,2172,Victory,267,15,8745,15,71
Match 431,cyrs7,3138,Victory,40,18,14036,17,144
Match 432,cyrs7,2003,Defeat,40,23,7675,13,61
Match 433,cyrs7,2055,Victory,99,45,9625,14,67
Match 434,cyrs7,1699,Victory,99,28,7915,12,70
Match 435,cyrs7,2413,Victory,117,34,10634,16,101
Match 436,cyrs7,1106,Defeat,19,16,4483,8,19
Match 437,cyrs7,1962,Victory,99,53,10229,15,60
Match 438,cyrs7,912,Defeat,267,4,3438,8,17
Match 439,cyrs7,1798,Defeat,267,8,9038,13,49
Match 440,cyrs7,1393,Defeat,99,27,5639,10,28
Match 441,cyrs7,1957,Defeat,235,34,9520,15,73
Match 442,cyrs7,1598,Defeat,40,14,6468,12,47
Match 443,cyrs7,2093,Defeat,40,28,10081,14,86
Match 444,cyrs7,2271,Defeat,518,156,11545,16,47
Match 445,cyrs7,1177,Defeat,267,8,4753,9,35
Match 446,cyrs7,1879,Defeat,117,23,6975,13,55
Match 447,cyrs7,2043,Defeat,267,15,7640,13,69
Match 448,cyrs7,1931,Victory,267,12,8451,14,62
Match 449,cyrs7,1732,Victory,267,13,7092,12,67
Match 450,cyrs7,1137,Victory,235,7,5475,9,22
Match 451,cyrs7,1486,Defeat,235,22,10460,11,49
Match 452,cyrs7,1403,Victory,235,12,7704,12,45
Match 453,cyrs7,1535,Victory,267,16,9451,14,55
Match 454,cyrs7,2324,Victory,235,45,12325,17,91
Match 455,cyrs7,2225,Victory,235,39,14439,16,77
Match 456,cyrs7,1622,Victory,40,12,8227,13,50
Match 457,cyrs7,1957,Victory,267,22,8762,13,80
Match 458,cyrs7,196,Defeat,117,0,794,2,1
Match 459,cyrs7,1653,Defeat,267,10,6102,11,41
Match 460,cyrs7,2021,Victory,267,19,9183,15,64
Match 461,cyrs7,2110,Victory,117,24,10082,16,78
Match 462,cyrs7,1978,Victory,267,13,10583,16,67
Match 463,cyrs7,1230,Victory,25,22,7022,10,41
Match 464,cyrs7,1090,Victory,99,80,5791,11,10
Match 465,cyrs7,1868,Victory,117,12,9358,14,60
Match 466,cyrs7,1482,Victory,267,4,6642,11,52
Match 467,cyrs7,2089,Defeat,117,25,9178,14,53
Match 468,cyrs7,1659,Defeat,143,42,7526,11,62
Match 469,cyrs7,1518,Victory,117,13,7843,11,50
Match 470,cyrs7,1297,Victory,267,4,7022,11,25
Match 471,cyrs7,1317,Defeat,117,7,5101,9,23
Match 472,cyrs7,2095,Victory,117,28,9404,15,82
Match 473,cyrs7,1345,Victory,117,9,7743,13,40
Match 474,cyrs7,1475,Defeat,40,10,6282,10,52
Match 475,cyrs7,1088,Victory,267,7,5170,8,34
Match 476,cyrs7,1540,Victory,267,13,7681,12,60
